,ï»¿Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
4779,Canada,Owen Sound,36,Good,1,Good,36,Good,3,Good,36,Good
4834,Canada,Oshawa,38,Good,1,Good,23,Good,3,Good,38,Good
5700,Canada,Thunder Bay,83,Moderate,1,Good,22,Good,0,Good,83,Moderate
6013,Canada,Cobourg,30,Good,1,Good,30,Good,2,Good,26,Good
6173,Canada,Glace Bay,31,Good,1,Good,31,Good,7,Good,14,Good
6243,Canada,North Bay,50,Good,1,Good,16,Good,1,Good,50,Good
6282,Canada,Orangeville,54,Moderate,1,Good,23,Good,8,Good,54,Moderate
6662,Canada,Cochrane,38,Good,1,Good,38,Good,0,Good,11,Good
6686,Canada,Belleville,45,Good,1,Good,19,Good,5,Good,45,Good
6819,Canada,Bay Roberts,25,Good,1,Good,25,Good,0,Good,15,Good
7178,Canada,Prince Albert,34,Good,1,Good,34,Good,0,Good,9,Good
7285,Canada,Lethbridge,38,Good,1,Good,38,Good,0,Good,13,Good
7422,Canada,North Battleford,33,Good,1,Good,33,Good,0,Good,6,Good
7983,Canada,Yellowknife,24,Good,1,Good,24,Good,0,Good,5,Good
8248,Canada,Strathroy,58,Moderate,1,Good,35,Good,6,Good,58,Moderate
8325,Canada,White Rock,71,Moderate,2,Good,22,Good,12,Good,71,Moderate
8471,Canada,Aldergrove,73,Moderate,2,Good,18,Good,14,Good,73,Moderate
8519,Canada,Moose Jaw,35,Good,1,Good,25,Good,0,Good,35,Good
8910,Canada,Saint John,39,Good,1,Good,26,Good,3,Good,39,Good
9072,Canada,Sydney Mines,17,Good,1,Good,17,Good,10,Good,17,Good
9405,Canada,Petawawa,29,Good,1,Good,23,Good,1,Good,29,Good
9750,Canada,Strathmore,37,Good,1,Good,15,Good,5,Good,37,Good
9763,Canada,Shawinigan,34,Good,1,Good,32,Good,2,Good,34,Good
10041,Canada,Charlottetown,25,Good,1,Good,25,Good,1,Good,22,Good
10322,Canada,Sherbrooke,23,Good,1,Good,23,Good,0,Good,18,Good
10492,Canada,Kitchener,55,Moderate,1,Good,36,Good,4,Good,55,Moderate
10631,Canada,Rimouski,32,Good,1,Good,22,Good,1,Good,32,Good
10640,Canada,Red Deer,32,Good,1,Good,32,Good,0,Good,9,Good
10793,Canada,Brantford,58,Moderate,1,Good,34,Good,7,Good,58,Moderate
10902,Canada,Yorkton,25,Good,1,Good,22,Good,1,Good,25,Good
11081,Canada,Camrose,67,Moderate,1,Good,32,Good,2,Good,67,Moderate
11289,Canada,Kelowna,31,Good,1,Good,31,Good,2,Good,16,Good
11450,Canada,Montreal,68,Moderate,1,Good,22,Good,5,Good,68,Moderate
11530,Canada,Sudbury,48,Good,1,Good,18,Good,1,Good,48,Good
11924,Canada,Fort Erie,47,Good,1,Good,31,Good,1,Good,47,Good
12000,Canada,Leduc,46,Good,1,Good,24,Good,4,Good,46,Good
12256,Canada,Midland,36,Good,1,Good,21,Good,0,Good,36,Good
